key,buy_high_min,buy_high_max,sector_high_min,sector_high_max,volume_z_min,fear_lookback,fear_threshold,volume_lookback,low_count_min,arm_window,exit_atr,max_positions,sectors,in_signals,in_median,in_mdd,in_calmar,out_median,out_mdd,out_calmar,win_pct
h13_z0.5_f5_p10,1,3,2,2,0.5,5,40.0,20,9,0,2.0,10,default54,762,-11.81,-35.81,-0.137,-6.22,-14.22,-0.367,49.48
h13_z1.0_f1_p5,1,3,2,2,1.0,1,40.0,20,9,0,2.0,5,default54,123,40.63,-21.49,0.683,-13.29,-20.95,-0.536,52.85
h13_z1.0_f1_p8,1,3,2,2,1.0,1,40.0,20,9,0,2.0,8,default54,123,37.74,-27.18,0.505,-13.62,-21.46,-0.537,52.85
h13_z1.0_f1_p10,1,3,2,2,1.0,1,40.0,20,9,0,2.0,10,default54,123,30.86,-29.54,0.386,-15.52,-22.32,-0.589,52.85
h13_z1.0_f3_p5,1,3,2,2,1.0,3,40.0,20,9,0,2.0,5,default54,487,4.19,-30.15,0.055,-16.73,-23.54,-0.603,48.46
h13_z1.0_f3_p8,1,3,2,2,1.0,3,40.0,20,9,0,2.0,8,default54,487,5.34,-31.66,0.067,-12.87,-25.49,-0.427,48.46
h13_z1.0_f3_p10,1,3,2,2,1.0,3,40.0,20,9,0,2.0,10,default54,487,1.35,-33.08,0.016,-9.65,-22.16,-0.367,48.46
h13_z1.0_f5_p5,1,3,2,2,1.0,5,40.0,20,9,0,2.0,5,default54,652,1.65,-27.98,0.024,-4.39,-17.08,-0.216,46.17
h13_z1.0_f5_p8,1,3,2,2,1.0,5,40.0,20,9,0,2.0,8,default54,652,3.88,-29.06,0.053,-11.48,-23.58,-0.411,46.17
h13_z1.0_f5_p10,1,3,2,2,1.0,5,40.0,20,9,0,2.0,10,default54,652,0.93,-29.99,0.012,-10.54,-23.23,-0.383,46.17
h13_z1.5_f1_p5,1,3,2,2,1.5,1,40.0,20,9,0,2.0,5,default54,94,9.82,-27.56,0.139,-15.34,-30.52,-0.426,51.06
h13_z1.5_f1_p8,1,3,2,2,1.5,1,40.0,20,9,0,2.0,8,default54,94,11.94,-28.26,0.164,-22.11,-29.87,-0.631,51.06
h13_z1.5_f1_p10,1,3,2,2,1.5,1,40.0,20,9,0,2.0,10,default54,94,6.01,-30.73,0.077,-22.46,-28.45,-0.673,51.06
h13_z1.5_f3_p5,1,3,2,2,1.5,3,40.0,20,9,0,2.0,5,default54,386,2.85,-33.31,0.034,-15.54,-24.84,-0.53,52.07
